Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on art studio door
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on living room
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on door to kitchen
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on art studio door
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on living room
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on art studio door
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on living room
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on door to kitchen
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on door to kitchen
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on living room
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on living room
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on living room
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on door to kitchen
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on living room
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on living room
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on art studio door
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on art studio door
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on art studio door
Variation: 0, Step: 0, Score: 0, Action: Life span is a property of organisms and includes ordered values of longest
Variation: 0, Step: 1, Score: 0, Action: life span 10 
Variation: 0, Step: 2, Score: 0, Action: focus on art studio door
